intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
823000,0.03355759429153925,0.2743333333333333,0.03355759429153925,0.04072398190045249,1.4763061968408262,1.0,0.9989593435951284,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_018847375.1 Akkermansia muciniphila strain=Akk1573, ASM1884737v1",a0187232545fc87ef446a1156ce94909,0.2743333333333333,823000,0,10563000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9356080237055401,0.9749578816787646,0.9552829526921524,0.9749578816787646,False,1215,1215,29835,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila_B
72000,0.0029357798165137615,0.017539334537013153,0.0027726809378185524,0.002279202279202279,1.0,1.0,0.0,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_003112755.1 Lawsonibacter asaccharolyticus strain=3BBH22, ASM311275v1",361208864dd572270a6b0d29d09d6bd1,0.018571060098013927,68000,37,2114000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.8919643959375096,0.9248166105655725,0.9083905032515411,0.9248166105655725,False,68,11868,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter asaccharolyticus
77000,0.0031396534148827727,0.010361868324565598,0.0026503567787971457,0.0023127199597787833,1.0615384615384615,1.0,0.24031537464328168,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000011065.1 Bacteroides thetaiotaomicron VPI-5482 strain=VPI-5482, ASM1106v1",36e5cf9f0e4c0a0411f3300c5364f87f,0.012274828630639247,65000,38,2049000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.8931394018901561,0.9173386976302399,0.905239049760198,0.9173386976302399,False,69,11937,29835,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron
65000,0.0026503567787971457,0.009606445615122404,0.002528032619775739,0.0021116138763197585,1.0161290322580645,1.0,0.1259717689662364,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_001314995.1 Bacteroides ovatus strain=ATCC 8483, ASM131499v1",c28ea957513bf36bf9dc694cd077b880,0.010071273628757359,62000,39,1987000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.8901773827120333,0.9137866145367728,0.9019819986244031,0.9137866145367728,False,63,12000,29835,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus
115000,0.004689092762487258,0.016008537886873,0.0024464831804281344,0.002145131556896263,1.0666666666666667,1.0,0.2494438257849294,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003435375.1 Clostridium sp. AM34-11AC strain=AM34-11AC, ASM343537v1",dbc6837b95ffa97bbc27800d0a9cc61b,0.030683030949839915,60000,40,1927000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9001918464881027,0.9339665847043648,0.9170792155962337,0.9339665847043648,False,64,12064,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Copromonas;s__Copromonas sp900066535
144000,0.005871559633027523,0.024789915966386553,0.002405708460754332,0.0026814144461203286,1.3559322033898304,1.0,0.683031921342708,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_003447295.1 Lachnospiraceae bacterium, ASM344729v1",2ea778b1d90b2a80e3eed8d1fdad1ce8,0.06050420168067227,59000,41,1868000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9041699478229029,0.9464843598269589,0.9253271538249309,0.9464843598269589,False,80,12144,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp003447295
60000,0.0024464831804281344,0.022138836772983114,0.002405708460754332,0.0020445785151667504,1.0338983050847457,1.0,0.1809674280005307,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_900542445.1 uncultured Clostridiales bacterium, UMGS462",917e16810f9f1566642ec16dd806d217,0.0225140712945591,59000,42,1809000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.8887813763719555,0.9283145922082027,0.9085479842900791,0.9283145922082027,False,61,12205,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__Ventricola;s__Ventricola sp900542445
68000,0.0027726809378185524,0.014221556886227544,0.0023241590214067276,0.0023127199597787833,1.2105263157894737,1.0,0.6417312687077853,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003437535.1 Bacteroides plebeius strain=TF10-3AC, ASM343753v1",a7ecbd3721b16f24d500d3be2e3d8b6f,0.016966067864271458,57000,43,1752000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.8909652839588451,0.9231789767498269,0.907072130354336,0.9231789767498269,False,69,12274,29835,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola plebeius_A
56000,0.0022833843017329254,0.014575741801145237,0.0022833843017329254,0.001910507792860734,1.0178571428571428,1.0,0.13243211584099399,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_900544445.1 uncultured Lachnospiraceae bacterium, UMGS671",2277fb356947f03157c26c5c12eecef4,0.014575741801145237,56000,44,1696000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.887579844580377,0.9204342234412666,0.9040070340108217,0.9204342234412666,False,57,12331,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella intestinigallinarum
118000,0.004811416921508664,0.01668726823238566,0.0022018348623853213,0.002011060834590246,1.1111111111111112,1.0,0.3142696805273545,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025149785.1 Coprococcus comes ATCC 27758 strain=ATCC 27758, ASM2514978v1",3a055d916786f743b82f17b95fcc483f,0.03646477132262052,54000,45,1642000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9006465139574463,0.9371334526371933,0.9188899832973199,0.9371334526371933,False,60,12391,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__Bariatricus comes
54000,0.0022018348623853213,0.018633540372670808,0.0022018348623853213,0.0018434724317077259,1.0185185185185186,1.0,0.13481684980149106,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_012843875.1 Desulfovibrio piger strain=PG-251-APC-1, ASM1284387v1",0573e538d871da6e4b72579422b1fe2c,0.018633540372670808,54000,46,1588000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.8869471449392811,0.9248775188595291,0.9059123318994051,0.9248775188595291,False,55,12446,29835,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio sp900556755
